iter	Passed	Remaining
402	10324	92150
403	10357	92188
404	10387	92202
405	10418	92226
406	10449	92244
407	10479	92256
408	10509	92271
409	10542	92308
410	10562	92235
411	10584	92176
412	10618	92221
413	10645	92213
414	10679	92259
415	10715	92315
416	10742	92303
417	10775	92342
418	10811	92399
419	10844	92439
420	10860	92325
421	10883	92276
422	10906	92229
423	10935	92227
424	10964	92234
425	10988	92187
426	11012	92147
427	11035	92098
428	11059	92055
429	11086	92047
430	11116	92055
431	11140	92008
432	11164	91975
433	11188	91930
434	11207	91848
435	11230	91801
436	11260	91811
437	11275	91698
438	11290	91587
439	11320	91590
440	11335	91476
441	11350	91369
442	11380	91374
443	11400	91304
444	11421	91242
445	11439	91156
446	11473	91195
447	11508	91246
448	11543	91294
449	11566	91247
450	11584	91160
451	11619	91209
452	11654	91252
453	11686	91275
454	11721	91324
455	11755	91362
456	11788	91395
457	11823	91439
458	11857	91477
459	11889	91496
460	11918	91498
461	11936	91410
462	11971	91456
463	12005	91490
464	12040	91530
465	12075	91575
466	12111	91625
467	12147	91676
468	12181	91712
469	12221	91788
470	12254	91814
471	12287	91842
472	12322	91885
473	12358	91931
474	12388	91936
475	12418	91940
476	12449	91945
477	12478	91944
478	12508	91948
479	12535	91928
480	12564	91920
481	12592	91906
482	12617	91878
483	12647	91875
484	12676	91874
485	12706	91875
486	12732	91848
487	12762	91844
488	12791	91839
489	12819	91829
490	12848	91820
491	12877	91816
492	12905	91802
493	12933	91790
494	12950	91702
495	12972	91645
496	13002	91647
497	13036	91676
498	13067	91684
499	13096	91676
500	13114	91589
501	13143	91586
502	13172	91576
503	13199	91559
504	13222	91509
505	13250	91499
506	13268	91413
507	13297	91407
508	13314	91320
509	13344	91317
510	13364	91252
511	13392	91239
512	13422	91235
513	13441	91158
514	13473	91173
515	13492	91097
516	13521	91093
517	13551	91095
518	13582	91096
519	13605	91050
520	13634	91047
521	13666	91054
522	13696	91059
523	13716	90989
524	13746	90985
525	13775	90979
526	13794	90906
527	13813	90835
528	13833	90765
529	13852	90693
530	13870	90618
531	13901	90619
532	13924	90572
533	13957	90596
534	13987	90591
535	14017	90589
536	14041	90548
537	14070	90545
538	14102	90554
539	14131	90545
540	14164	90564
541	14194	90559
542	14226	90571
543	14259	90591
544	14287	90572
545	14320	90588
546	14352	90604
547	14384	90609
548	14406	90560
549	14436	90553
550	14463	90535
551	14481	90457
552	14503	90402
553	14521	90324
554	14549	90313
555	14572	90265
556	14595	90219
557	14617	90168
558	14647	90163
559	14679	90173
560	14710	90177
561	14727	90097
562	14754	90073
563	14780	90047
564	14799	89974
565	14830	89977
566	14856	89954
567	14883	89929
568	14905	89875
569	14931	89853
570	14957	89824
571	14975	89747
572	15006	89752
573	15034	89738
574	15048	89639
575	15077	89624
576	15091	89529
577	15122	89530
578	15151	89523
579	15177	89497
580	15208	89497
581	15236	89482
582	15254	89407
583	15282	89389
584	15310	89379
585	15339	89369
586	15357	89293
587	15386	89286
588	15408	89234
589	15436	89219
590	15463	89196
591	15492	89184
592	15520	89170
593	15546	89146
594	15574	89126
595	15589	89037
596	15616	89014
597	15642	88992
598	15670	88976
599	15699	88964
600	15729	88961
601	15759	88956
602	15793	88973
603	15822	88961
604	15850	88946
605	15880	88939
606	15908	88923
607	15922	88832
608	15949	88808
609	15981	88812
610	16009	88799
611	16038	88790
612	16067	88775
613	16096	88764
614	16123	88747
615	16155	88747
616	16187	88753
617	16214	88734
618	16229	88645
619	16258	88634
620	16285	88615
621	16318	88623
622	16346	88604
623	16373	88586
624	16401	88569
625	16433	88574
626	16462	88562
627	16485	88518
628	16514	88504
629	16542	88488
630	16569	88466
631	16599	88459
632	16630	88457
633	16660	88454
634	16693	88462
635	16707	88371
636	16737	88365
637	16769	88368
638	16800	88364
639	16833	88375
640	16866	88382
641	16890	88347
642	16920	88339
643	16949	88327
644	16979	88321
645	17011	88320
646	17044	88329
647	17078	88343
648	17110	88346
649	17143	88355
650	17172	88343
651	17202	88334
652	17221	88270
653	17251	88260
654	17279	88244
655	17309	88235
656	17341	88238
657	17361	88178
658	17391	88172
659	17421	88165
660	17452	88158
661	17474	88110
662	17507	88119
663	17542	88133
664	17575	88141
665	17606	88138
666	17636	88130
667	17663	88107
668	17691	88088
669	17706	88003
670	17722	87924
671	17739	87852
672	17767	87834
673	17798	87828
674	17827	87818
675	17855	87799
676	17883	87777
677	17910	87756
678	17929	87691
679	17956	87671
680	17985	87655
681	18012	87632
682	18034	87586
683	18062	87567
684	18094	87568
685	18127	87574
686	18155	87551
687	18172	87481
688	18200	87460
689	18231	87459
690	18259	87439
691	18277	87375
692	18300	87332
693	18318	87265
694	18348	87252
695	18369	87204
696	18393	87164
697	18421	87146
698	18452	87141
699	18474	87094
700	18503	87078
701	18521	87015
702	18544	86973
703	18563	86911
704	18595	86910
705	18618	86868
706	18649	86861
707	18677	86845
708	18699	86798
709	18717	86733
710	18747	86725
711	18777	86712
712	18810	86719
713	18840	86707
714	18869	86694
715	18900	86691
716	18926	86660
717	18956	86648
718	18988	86648
719	19013	86617
720	19044	86611
721	19075	86603
722	19105	86597
723	19129	86559
724	19148	86497
725	19177	86485
726	19192	86405
727	19206	86324
728	19230	86286
729	19252	86241
730	19281	86226
731	19309	86207
732	19337	86187
733	19365	86166
734	19388	86127
735	19418	86115
736	19449	86111
737	19479	86099
738	19499	86047
739	19533	86053
740	19562	86036
741	19595	86041
742	19627	86039
743	19659	86037
744	19694	86047
745	19722	86028
746	19745	85986
747	19771	85960
748	19790	85898
749	19821	85894
750	19844	85852
751	19868	85814
752	19890	85768
753	19912	85722
754	19935	85681
755	19953	85619
756	19982	85607
757	20004	85561
758	20028	85525
759	20057	85507
760	20080	85468
761	20104	85430
762	20133	85416
763	20162	85402
764	20181	85342
765	20203	85298
766	20233	85288
767	20251	85226
768	20279	85206
769	20302	85163
770	20321	85105
771	20344	85067
772	20375	85060
773	20404	85046
774	20434	85034
775	20463	85020
776	20484	84967
777	20517	84969
778	20550	84970
779	20581	84966
780	20616	84974
781	20646	84960
782	20676	84950
783	20708	84947
784	20739	84939
785	20768	84925
786	20789	84873
787	20822	84873
788	20842	84824
789	20876	84827
790	20896	84776
791	20931	84781
792	20966	84792
793	20994	84770
794	21026	84765
795	21055	84749
796	21086	84743
797	21106	84691
798	21134	84670
799	21162	84648
800	21185	84609
801	21203	84549
802	21226	84509
803	21248	84466
804	21271	84425
805	21294	84385
806	21321	84361
807	21343	84319
808	21366	84275
809	21394	84255
810	21423	84239
811	21450	84215
812	21473	84176
813	21506	84175
814	21535	84160
815	21564	84144
816	21598	84148
817	21622	84112
818	21649	84088
819	21678	84072
820	21693	84000
821	21724	83991
822	21753	83976
823	21784	83965
824	21813	83950
825	21851	83966
826	21879	83946
827	21912	83945
828	21949	83958
829	21975	83929
830	21998	83892
831	22033	83897
832	22061	83875
833	22089	83853
834	22110	83807
835	22133	83769
836	22159	83741
837	22182	83701
838	22209	83676
839	22242	83672
840	22259	83613
841	22286	83589
842	22323	83602
843	22342	83545
844	22365	83505
845	22379	83433
846	22397	83376
847	22411	83304
848	22430	83250
849	22457	83225
850	22480	83185
851	22503	83145
852	22529	83120
853	22557	83098
854	22576	83044
855	22590	82971
856	22620	82960
857	22647	82936
858	22666	82882
859	22695	82864
860	22713	82809
861	22731	82751
862	22758	82727
863	22790	82722
864	22818	82699
865	22844	82673
866	22867	82635
867	22888	82589
868	22907	82535
869	22933	82507
870	22967	82508
871	22985	82452
872	23004	82401
873	23029	82367
874	23057	82347
875	23086	82332
876	23115	82313
877	23153	82328
878	23185	82321
879	23216	82313
880	23246	82300
881	23268	82258
882	23298	82243
883	23320	82201
884	23338	82146
885	23372	82145
886	23400	82127
887	23427	82102
888	23459	82093
889	23487	82073
890	23507	82026
891	23533	81998
892	23567	81998
893	23602	82001
894	23631	81985
895	23660	81965
896	23688	81945
897	23716	81925
898	23734	81870
899	23761	81845
900	23780	81792
901	23809	81775
902	23836	81752
903	23851	81686
904	23873	81645
905	23902	81628
906	23931	81608
907	23948	81551
908	23976	81531
909	24004	81509
910	24024	81461
911	24042	81408
912	24071	81390
913	24100	81372
914	24119	81319
915	24152	81315
916	24181	81298
917	24211	81286
918	24233	81243
919	24255	81203
920	24274	81153
921	24301	81128
922	24319	81074
923	24350	81064
924	24379	81045
925	24399	80997
926	24419	80949
927	24443	80915
928	24471	80894
929	24488	80840
930	24510	80797
931	24549	80812
932	24577	80793
933	24605	80770
934	24633	80750
935	24654	80707
936	24676	80665
937	24694	80613
938	24723	80594
939	24740	80539
940	24763	80501
941	24796	80497
942	24828	80489
943	24850	80448
944	24878	80427
945	24899	80384
946	24932	80378
947	24946	80311
948	24968	80272
949	24982	80206
950	25014	80199
951	25029	80135
952	25056	80112
953	25084	80090
954	25113	80073
