iter	RMSE
0	7533.40159
1	7248.932784
2	6966.971506
3	6698.565634
4	6461.765398
5	6226.210393
6	6001.862814
7	5797.56122
8	5604.947196
9	5413.921639
10	5229.28056
11	5054.916829
12	4884.518913
13	4728.042687
14	4572.725377
15	4430.721098
16	4295.274725
17	4156.807913
18	4030.666375
19	3921.9171
20	3818.754576
21	3724.491916
22	3618.410736
23	3527.886941
24	3434.571572
25	3351.741224
26	3261.121561
27	3173.622308
28	3101.760142
29	3018.417878
30	2955.804378
31	2895.929549
32	2819.128337
33	2764.20346
34	2714.092758
35	2661.499233
36	2602.45173
37	2552.22712
38	2504.118089
39	2461.052449
40	2427.606238
41	2395.875211
42	2363.107584
43	2325.081778
44	2289.76681
45	2257.202274
46	2222.357779
47	2203.344892
48	2181.476005
49	2153.477566
50	2107.891153
51	2068.771771
52	2034.951542
53	2009.353444
54	1987.526529
55	1959.265683
56	1927.498518
57	1913.294477
58	1889.48827
59	1873.070483
60	1849.152256
61	1825.541393
62	1798.429491
63	1769.991966
64	1759.383551
65	1735.568643
66	1725.42774
67	1704.987794
68	1694.121676
69	1680.74734
70	1675.418554
71	1667.295517
72	1644.947253
73	1640.282826
74	1634.719629
75	1619.759829
76	1609.874054
77	1603.688706
78	1598.539536
79	1574.908771
80	1555.559565
81	1531.691746
82	1522.586823
83	1507.3047
84	1498.247814
85	1489.203766
86	1475.904637
87	1469.839271
88	1463.982469
89	1457.560024
90	1448.542888
91	1444.945389
92	1439.835261
93	1431.960208
94	1426.462652
95	1417.01318
96	1413.492152
97	1409.384737
98	1407.048354
99	1387.25862
100	1385.866528
101	1385.558347
102	1380.496694
103	1373.789524
104	1372.690083
105	1371.940227
106	1363.630171
107	1362.511913
108	1361.515836
109	1361.188655
110	1354.067123
111	1338.333063
112	1337.75258
113	1337.544677
114	1336.690499
115	1336.645796
116	1336.445639
117	1333.666742
118	1331.565869
119	1331.533159
120	1330.767036
121	1328.371829
122	1326.814601
123	1326.316903
124	1326.28998
125	1325.819072
126	1323.023078
127	1319.802528
128	1319.112003
129	1309.32774
130	1291.558611
131	1290.707967
132	1290.698708
133	1290.673385
134	1290.153765
135	1289.758638
136	1289.545175
137	1289.241442
138	1286.878257
139	1286.526108
140	1286.071204
141	1286.029892
142	1285.949839
143	1285.905835
144	1285.831822
145	1285.579851
146	1285.57806
147	1285.573692
148	1285.398458
149	1285.328504
150	1285.294954
151	1285.070833
152	1284.918391
153	1284.685687
154	1284.15075
155	1283.845517
156	1283.714801
157	1283.636342
158	1283.604262
159	1283.44497
160	1271.137712
161	1271.137259
162	1271.136862
163	1271.040012
164	1270.958845
165	1270.938454
166	1270.909735
167	1270.909565
168	1270.660868
169	1270.574521
170	1270.492871
171	1270.492701
172	1270.492644
173	1270.466069
174	1270.401072
175	1270.334429
176	1270.281554
177	1270.266819
178	1270.232474
179	1270.147798
180	1270.123256
181	1270.123256
182	1264.433466
183	1264.204679
184	1264.204338
185	1264.204167
186	1264.173302
187	1264.164931
188	1264.127459
189	1264.092548
190	1264.092434
191	1264.023807
192	1264.023579
193	1264.023522
194	1263.99214
195	1263.965599
196	1263.965428
197	1263.957511
198	1263.924134
199	1263.685912
200	1263.685741
201	1263.45283
202	1249.654581
203	1249.365236
204	1249.156051
205	1249.119224
206	1248.907518
207	1248.764958
208	1248.746972
209	1239.670743
210	1239.427743
211	1239.427278
212	1239.420366
213	1228.083237
214	1228.069754
215	1227.858934
216	1227.817422
217	1224.18264
218	1213.337562
219	1211.833012
220	1211.819526
221	1211.755662
222	1211.749483
223	1199.714522
224	1190.67247
225	1183.340831
226	1172.442666
227	1172.277113
228	1172.120074
229	1171.995754
230	1170.813629
231	1170.754599
232	1170.734307
233	1167.568036
234	1167.548736
235	1166.185626
236	1165.25001
237	1165.132619
238	1156.574781
239	1155.754163
240	1155.689879
241	1146.927716
242	1146.868335
243	1146.734749
244	1146.60931
245	1146.552738
246	1139.596582
247	1139.516919
248	1139.490953
249	1139.441988
250	1139.396371
251	1129.999648
252	1129.884966
253	1129.813985
254	1129.705529
255	1129.603628
256	1129.560035
257	1129.523132
258	1120.746465
259	1120.711392
260	1115.094576
261	1115.026592
262	1114.963834
263	1103.924942
264	1096.588841
265	1096.50195
266	1096.426181
267	1096.343578
268	1096.266091
269	1096.225376
270	1096.22068
271	1096.216379
272	1096.158257
273	1096.087095
274	1096.021643
275	1081.997403
276	1081.90924
277	1081.890209
278	1081.853378
279	1081.836176
280	1081.720647
281	1074.795609
282	1074.730301
283	1074.67018
284	1074.614678
285	1074.563428
286	1074.534887
287	1074.488625
288	1074.445911
289	1074.361451
290	1074.321278
291	1074.28402
292	1072.184629
293	1072.145382
294	1072.120672
295	1072.097472
296	1064.456849
297	1055.019349
298	1054.952611
299	1054.870856
300	1054.818885
301	1054.771007
302	1054.726914
303	1054.709031
304	1045.746863
305	1045.728276
306	1040.675492
307	1040.665081
308	1040.660654
309	1040.592096
310	1040.582549
311	1040.578605
312	1040.546019
313	1040.534119
314	1040.470811
315	1038.673412
316	1033.535294
317	1028.425896
318	1028.359848
319	1028.349312
320	1028.341227
321	1021.991774
322	1021.983462
323	1021.975466
324	1020.90188
325	1020.813306
326	1020.804703
327	1020.745461
328	1020.738338
329	1020.731496
330	1020.721904
331	1020.718519
332	1020.6616
333	1018.695414
334	1011.236826
335	1007.48261
336	1007.476572
337	1007.469319
338	1001.538165
339	999.8665558
340	994.0301444
341	994.0265957
342	994.0242781
343	994.0187739
344	994.0134869
345	990.6246498
346	982.7942167
347	977.9300101
348	967.7392578
349	961.3529274
350	957.0480674
351	957.0369721
352	954.1241627
353	947.0340748
354	944.6717787
355	940.7066535
356	939.6700759
357	934.9416108
358	933.6600981
359	924.5598935
360	923.0264302
361	919.8728723
362	909.5235257
363	909.5133546
364	908.0861294
365	906.0467587
366	902.941455
367	901.8224767
368	900.3591934
369	897.995929
370	892.8260512
371	889.072448
372	887.0847643
373	887.0650435
374	885.9830152
375	883.2566389
376	882.2159644
377	881.497611
378	880.5351068
379	879.6273677
380	878.6435604
381	877.6407684
382	876.8607469
383	875.5029793
384	874.6157813
385	873.4079716
386	872.7007638
387	871.8576988
388	871.5005019
389	868.7660903
390	868.2147749
391	867.5855277
392	866.8594519
393	866.1855456
394	865.9621099
395	863.4899965
396	863.3563824
397	857.1994162
398	856.7120027
399	856.5737593
400	855.2178759
401	854.554123
402	854.1110535
403	850.8867815
404	850.7335444
405	850.6065592
406	850.4949608
407	849.3129467
408	848.0990243
409	847.4156783
410	847.0964051
411	847.0549736
412	845.1768274
413	844.8757951
414	843.9163084
415	843.4394846
416	843.1821028
417	843.086557
418	840.7559082
419	840.3684446
420	840.3104895
421	840.0599475
422	839.8431907
423	838.1364942
424	838.0583269
425	837.8444033
426	837.6452935
427	837.4644898
428	837.2917722
429	836.9485956
430	836.7487995
431	836.6017931
432	836.5343258
433	836.4755457
434	836.4374182
435	836.3831071
436	835.9490084
437	835.9159381
438	835.8858809
439	834.4853422
440	834.4602372
441	834.437461
442	831.036216
443	831.0108336
444	830.9741448
445	830.9534822
446	828.9394257
447	828.4060996
448	828.132049
449	828.0997967
450	828.0830181
451	825.9871852
452	820.2212876
453	819.979006
454	819.6416238
455	815.3818431
456	811.1002235
457	810.7457385
458	810.5181667
459	810.3072339
460	808.2816781
461	808.1055294
462	807.8965954
463	807.2469065
464	807.1532611
465	806.9105353
466	806.6338226
467	806.2900973
468	806.2010735
469	805.6288365
470	805.5304452
471	805.4572024
472	805.1419901
473	804.9091223
474	804.7972699
475	804.2367005
476	803.1001798
477	802.9282741
478	802.8718756
479	797.7129965
480	797.3363982
481	797.0105675
482	796.9018073
483	796.7774013
484	796.2728023
485	796.1335588
486	796.0666861
487	795.8272729
488	795.6974967
489	795.2769466
490	794.9984033
491	794.8832544
492	794.7366112
493	790.2568448
494	790.189247
495	790.1147643
496	790.0176758
497	789.5798772
498	788.7773911
499	788.1271959
500	788.0724787
501	787.9795239
502	787.8822178
503	787.8292655
504	787.7845343
505	787.6799382
506	787.6321365
507	787.0176309
508	786.9765127
509	783.54469
510	783.5046299
511	783.4604328
512	783.4127412
513	783.3762584
514	782.8539637
515	782.8203977
516	778.996037
517	777.4489505
518	774.5571687
519	774.5356285
520	774.2982279
521	774.2005274
522	774.1376886
523	774.1088828
524	770.830998
525	770.7272536
526	770.7013795
527	770.6776531
528	770.6558877
529	770.6359199
530	770.6177266
531	769.500222
532	769.4809493
533	768.1879926
534	767.7714321
535	764.8216243
536	764.8045164
537	764.6905165
538	764.6347813
539	763.6805556
540	763.451331
541	763.4020122
542	759.774521
543	759.5596617
544	759.5418191
545	759.1968286
546	756.8202263
547	753.7575613
548	753.7449539
549	753.7054113
550	753.6908211
551	753.682893
552	753.6605413
553	753.6529234
554	753.6384993
555	753.602223
556	753.5927894
557	753.5841439
558	750.2647572
559	749.9352503
560	749.7126739
561	749.7063842
562	749.6962294
563	749.6864586
564	749.6757034
565	749.4623915
566	749.4536022
567	749.4459896
568	749.4249764
569	749.4172914
570	749.4106631
571	749.4072528
572	749.1140084
573	748.937401
574	748.9343971
575	744.4973603
576	744.4942418
577	744.3206731
578	743.8177263
579	743.811048
580	743.5536719
581	743.4312811
582	743.4229774
583	743.415424
584	743.3867352
585	742.6822395
586	742.679283
587	742.5856872
588	742.5791917
589	739.2705492
590	739.2617605
591	737.0700882
592	736.9606388
593	736.9423712
594	733.081267
595	733.0810215
596	733.0744418
597	733.0683286
598	729.6026069
599	729.112785
600	728.9293071
601	728.5426475
602	728.1449812
603	728.1290384
604	728.1205848
605	727.9566113
606	727.1002487
607	727.0965358
608	727.0896544
609	726.6160717
610	724.3682263
611	724.35389
612	722.041899
613	721.1002717
614	721.0931334
615	718.3984688
616	718.0506044
617	717.6016046
618	717.6002754
619	715.4523045
620	715.2878927
621	715.027096
622	714.9300311
623	714.3209098
624	713.9040528
625	712.6496954
626	712.5682443
627	712.0758797
628	711.9768958
629	709.9118784
630	709.8808975
631	709.812542
632	709.2348069
633	707.9689227
634	707.6666454
635	707.6649414
636	707.5809835
637	707.292434
638	704.1221133
639	703.8441386
640	703.6054984
641	703.5949852
642	703.2358057
643	703.0626237
644	699.3972144
645	699.2649073
646	698.8223035
647	698.4633237
648	698.2205246
649	697.9878005
650	696.2255042
651	694.188377
652	694.1797954
653	694.1172834
654	692.3303437
655	692.2510777
656	692.0236542
657	692.0154098
658	691.9701288
659	691.9201109
660	691.877529
661	691.8590076
662	691.7062648
663	691.5419591
664	691.3505669
665	691.2906369
666	691.2465843
667	688.2948593
668	688.2560802
669	688.2537529
670	688.2515563
671	688.2475292
672	688.2241506
673	688.145667
674	685.1343517
675	685.0995445
676	685.0833355
677	685.0447688
678	685.0381218
679	685.0247226
680	684.9925898
681	682.9788785
682	682.9716054
683	680.011222
684	679.9341197
685	679.3604085
686	676.7079712
687	676.7065882
688	674.2976415
689	674.1421212
690	674.014603
691	674.0139354
692	673.764062
693	673.76286
694	673.6766272
695	673.6661011
696	673.6585671
697	673.1611908
698	672.9820079
699	672.9775685
700	672.8625082
701	672.8394243
702	672.8353584
703	672.7444588
704	672.4593213
705	672.4075844
706	672.3228374
707	672.2174376
708	672.2135287
709	672.211119
710	671.9303622
711	671.8747004
712	671.7181636
713	671.6204938
714	671.5278753
715	670.825692
716	670.7901692
717	668.4610871
718	668.3799597
719	668.3773208
720	666.1000577
721	665.1734789
722	664.910593
723	664.8811154
724	664.8790311
725	664.7560172
726	664.7548801
727	664.7539596
728	664.7284551
729	664.7051699
730	662.2068025
731	662.1927783
732	658.9103867
733	658.1268986
734	658.099469
735	657.6473322
736	657.6015458
737	656.5076913
738	656.5057449
739	656.2810175
740	656.0458158
741	655.5844935
742	655.4528158
743	655.1426536
744	654.7628049
745	654.739935
746	654.7242114
747	654.7046939
748	654.6996632
749	654.5868617
750	654.1679265
751	653.7756467
752	653.7692875
753	653.7515309
754	653.7391423
755	653.7383164
756	652.989691
757	652.9418139
758	652.9297683
759	650.2306591
760	650.2206946
761	650.1979417
762	647.6439467
763	645.7586813
764	645.757873
765	645.7506545
766	644.8657833
767	644.8645274
768	642.8236082
769	642.8143968
770	642.8093851
771	642.7881618
772	641.1437755
773	637.5671137
774	636.9210245
775	636.4391944
776	636.3596128
777	636.2728366
778	636.1495533
779	635.4099179
780	634.9699407
781	633.4686983
782	630.8341399
783	630.7755934
784	630.7552207
785	630.7477449
786	630.6359959
787	629.6776114
788	629.6723522
789	628.3566296
790	628.3556844
791	628.3484378
792	628.3415062
793	628.3344026
794	628.2109366
795	628.1834328
796	628.1779605
797	628.1769004
798	628.1698523
799	628.164122
800	628.1604547
801	628.1595951
802	628.154667
803	628.15014
804	628.1460141
805	628.1422893
806	628.1338082
807	628.1306564
808	628.127877
809	628.1217166
810	628.1149544
811	628.1085933
812	628.1056992
813	628.051942
814	628.0457235
815	628.0398202
816	627.9416336
817	627.9386241
818	627.935328
819	627.9323472
820	627.9303982
821	626.9473815
822	626.9283198
823	626.9224633
824	626.893812
825	626.6753528
826	626.6725382
827	626.6586953
828	626.6536405
829	626.6517162
830	626.6494473
831	626.5643711
832	626.5589709
833	626.5538004
834	626.5497789
835	626.5474809
836	626.5445796
837	626.5386909
838	626.5362779
839	625.9397327
840	625.9345571
841	625.9325156
842	625.5831781
843	625.5809341
844	625.5792654
845	625.5715551
846	625.5701166
847	625.5629815
848	625.5623198
849	625.5603346
850	625.5586084
851	625.5488263
852	625.5438201
853	625.5383247
854	625.5377205
855	625.5357928
856	625.2037076
857	625.2018653
858	625.1997926
859	624.1294319
860	624.1275287
861	624.1255678
862	624.1235492
863	624.0697374
864	624.0677763
865	624.0628736
866	624.0612586
867	624.057942
868	624.0562404
869	624.05451
870	624.0049321
871	624.0032304
872	623.963715
873	623.9620997
874	623.9606287
875	623.8762243
876	623.8748108
877	623.8296038
878	623.8281324
879	623.8267476
880	623.8219295
881	623.8145725
882	623.8133608
883	623.8112547
884	623.8090331
885	623.7676589
886	623.3263359
887	623.3220626
888	623.2841211
889	623.2656981
890	623.2633591
891	623.2621752
892	622.9601962
893	622.5490038
894	622.5261935
895	622.3199384
896	620.1297299
897	620.1262472
898	620.1237222
899	620.1229095
900	620.1205006
901	620.1170469
902	620.1137092
903	620.1064243
904	620.1037832
905	620.0242529
906	620.0181571
907	620.0160381
908	620.0129902
909	620.0073877
910	620.0052106
911	619.969795
912	619.7091375
913	618.1909236
914	618.0476391
915	617.6523498
916	616.5437245
917	616.3111423
918	616.3081344
919	616.3066159
920	616.2739373
921	616.2730612
922	616.1460683
923	616.072425
924	616.0716947
925	616.0675463
926	615.9489263
927	615.8609108
928	615.8602971
929	615.7479507
930	615.7451447
931	615.4884294
932	615.0267976
933	615.0124291
934	614.5393988
935	614.5362065
936	614.5332486
937	614.5048397
938	614.4968732
939	614.494823
940	614.491777
941	614.2398413
942	614.0245889
943	614.0220681
944	613.9995273
945	613.9972996
946	613.9699798
947	613.9687486
948	613.9656414
949	613.9644102
950	613.9200272
951	613.9190304
952	613.9156297
953	612.4033314
954	611.9569009
955	611.9560774
956	611.9507836
957	611.9460191
958	611.929343
959	611.8547509
960	611.8473383
961	611.8458087
962	611.2975523
963	611.2961391
964	611.2643998
965	611.2497957
966	611.2436713
967	610.9917807
968	610.9907792
969	610.9015485
970	610.8842841
971	610.8830762
972	610.8707904
973	610.8562947
974	610.8409148
975	610.3663618
976	607.9668453
977	605.5492315
978	605.5355001
979	604.9891706
980	603.4966727
981	601.4445004
982	601.4092187
983	599.7318936
984	599.6078809
985	597.4754839
986	597.1458474
987	595.4567851
988	594.5745253
989	594.2210487
990	594.2117805
991	593.7763154
992	593.5862978
993	593.573745
994	592.7564559
995	591.7767493
996	591.5177557
997	591.5084452
998	591.4943269
999	591.4815776
1000	590.9272803
1001	589.7645447
1002	589.7628358
1003	589.7613099
1004	589.750812
1005	589.7495913
1006	589.1647058
1007	589.1034236
1008	588.5465195
1009	588.545174
1010	588.2539185
1011	588.2383148
1012	587.0099483
1013	586.9192489
1014	586.8940419
1015	586.889442
1016	586.8882766
1017	586.8736793
1018	586.8726979
1019	586.6109869
1020	586.6101278
1021	586.3649973
1022	586.3641992
1023	586.3634933
1024	586.1546458
1025	585.6881467
1026	585.5829511
1027	585.335238
1028	585.2268728
1029	585.2060831
1030	585.2023618
1031	585.2015007
1032	585.0221112
1033	585.0189425
1034	585.0181426
1035	584.9582412
1036	584.947011
1037	584.9442418
1038	584.9417496
1039	584.782255
1040	584.6221319
1041	584.6212699
1042	584.6205003
1043	584.619823
1044	584.5504902
1045	584.4324639
1046	584.4304314
1047	584.4275366
1048	584.4256273
1049	584.425073
1050	584.4245494
1051	584.4240567
1052	584.4224553
1053	584.4209463
1054	584.4205152
1055	584.4201456
1056	584.4188522
1057	584.4175896
1058	584.4172816
1059	584.4160806
1060	584.4150335
1061	584.3984957
1062	584.3969867
1063	584.3770298
1064	584.376691
1065	584.3557171
1066	584.3553475
1067	584.3551627
1068	584.2081081
1069	584.0772866
1070	584.0763314
1071	583.9270183
1072	583.9261861
1073	583.9074768
1074	583.9014663
1075	583.7615736
1076	583.5733838
1077	583.5727053
1078	582.6615786
1079	582.6545668
1080	582.6493156
1081	582.6482654
1082	582.6475549
1083	582.6468753
1084	582.6462575
1085	582.6444659
1086	582.6440335
1087	582.643601
1088	582.6426125
1089	582.6344576
1090	582.5072683
1091	582.5061869
1092	582.4108925
